rid;email;description
8fcbce9b-ca39-42c8-a74a-36becc705ce6;"ys5t@:v6y";turbocharge
1a5cb8ca-724a-4706-a26d-fa1fdf35277d;"`vzq$@rZ]'";or
a040bff4-d575-4848-8de2-bac933739365;"+iW87@#T/#";disbar merrily
d1c21bec-4e7f-4c1c-b55e-f0e6b930ea34;",JjT@?k!5P";fumbling wetly
bd3c084b-e8d3-4630-968e-32f37e0026d8;"MSP@,d|SKo";grandiose
22e39f3a-cffc-41ef-8914-b8451ee64ea2;"+@^<O1";ah boo
0ecd1014-9945-44d0-941e-2710f71a37bb;"y<K_r@L^F^93";buckle a humour
9e5bca76-174a-4074-9624-c91fed738d52;"!@,A}";good greedily
71c7de4d-5e93-4553-9524-f9bdfd344745;"q@T`Pc";defy schematise
d9b0f7c3-41c9-4754-b3d4-9a08fa20416f;"1k~@K:";fully unless lively
